0,1,2
Palmar-plantar erythrodysesthesia syndrome,Carpal Tunnel Syndrome,1.0
Palmar-plantar erythrodysesthesia syndrome,Cancer-Associated Retinopathy,2.0
Palmar-plantar erythrodysesthesia syndrome,Coronavirus Infections,2.0
Palmar-plantar erythrodysesthesia syndrome,Acute gastroenteritis,3.0
Palmar-plantar erythrodysesthesia syndrome,Congenital Thrombotic Thrombocytopenic Purpura,1.0
Palmar-plantar erythrodysesthesia syndrome,Gonorrhea,9.0
Palmar-plantar erythrodysesthesia syndrome,Geroderma osteodysplastica,9.0
Palmar-plantar erythrodysesthesia syndrome,Sexually Transmitted Diseases,2.0
Palmar-plantar erythrodysesthesia syndrome,Osteoporosis with pseudoglioma,1.0
Palmar-plantar erythrodysesthesia syndrome,"Lung Diseases, Obstructive",4.0
Palmar-plantar erythrodysesthesia syndrome,Gray Platelet Syndrome,3.0
Palmar-plantar erythrodysesthesia syndrome,Disease,2.0
Palmar-plantar erythrodysesthesia syndrome,Pain,1.0
Palmar-plantar erythrodysesthesia syndrome,rundown,1.0
Palmar-plantar erythrodysesthesia syndrome,Little's Disease,1.0
Palmar-plantar erythrodysesthesia syndrome,Testicular regression syndrome,1.0
Palmar-plantar erythrodysesthesia syndrome,PROGRESSIVE ENCEPHALOMYELITIS WITH RIGIDITY,1.0
Palmar-plantar erythrodysesthesia syndrome,Communicable Diseases,5.0
Palmar-plantar erythrodysesthesia syndrome,Common Cold,1.0
Palmar-plantar erythrodysesthesia syndrome,Influenza,2.0
Palmar-plantar erythrodysesthesia syndrome,Coughing,2.0
Palmar-plantar erythrodysesthesia syndrome,Asthenia,1.0
Palmar-plantar erythrodysesthesia syndrome,"Hyperostosis, Diffuse Idiopathic Skeletal",1.0
Palmar-plantar erythrodysesthesia syndrome,PREMATURE CHROMATID SEPARATION TRAIT,1.0
Palmar-plantar erythrodysesthesia syndrome,Chronic Obstructive Airway Disease,1.0
Palmar-plantar erythrodysesthesia syndrome,Pallister-Hall syndrome,1.0
Palmar-plantar erythrodysesthesia syndrome,Signs and Symptoms,1.0
Palmar-plantar erythrodysesthesia syndrome,Chronic articular rheumatism,1.0
Palmar-plantar erythrodysesthesia syndrome,Pyotraumatic dermatitis,1.0
Palmar-plantar erythrodysesthesia syndrome,Mass of body region,1.0
Palmar-plantar erythrodysesthesia syndrome,Multiple symptoms,1.0
Palmar-plantar erythrodysesthesia syndrome,Chills,1.0
Palmar-plantar erythrodysesthesia syndrome,Nervousness,2.0
Palmar-plantar erythrodysesthesia syndrome,Infantile Neuroaxonal Dystrophy,3.0
Palmar-plantar erythrodysesthesia syndrome,Exhaustion,1.0
Palmar-plantar erythrodysesthesia syndrome,Mandibuloacral dysostosis,1.0
Palmar-plantar erythrodysesthesia syndrome,Gasping for breath,1.0
Palmar-plantar erythrodysesthesia syndrome,Shoulder stiff,1.0
Palmar-plantar erythrodysesthesia syndrome,Fish-Eye Disease,1.0
Palmar-plantar erythrodysesthesia syndrome,Algoneurodystrophy,1.0
Palmar-plantar erythrodysesthesia syndrome,Amelogenesis imperfecta nephrocalcinosis,1.0
Palmar-plantar erythrodysesthesia syndrome,Malignant hyperpyrexia due to anesthesia,1.0
Palmar-plantar erythrodysesthesia syndrome,Dandy-Walker Syndrome,1.0
Palmar-plantar erythrodysesthesia syndrome,sick to stomach,1.0
Palmar-plantar erythrodysesthesia syndrome,Chest discomfort,1.0
Palmar-plantar erythrodysesthesia syndrome,Vaccinia,1.0
Palmar-plantar erythrodysesthesia syndrome,Myopia,1.0
Palmar-plantar erythrodysesthesia syndrome,Kartagener Syndrome,1.0
Palmar-plantar erythrodysesthesia syndrome,Equine laminitis,1.0
Carpal Tunnel Syndrome,Cancer-Associated Retinopathy,12.0
Carpal Tunnel Syndrome,Coronavirus Infections,15.0
Carpal Tunnel Syndrome,Acute gastroenteritis,14.0
Carpal Tunnel Syndrome,Congenital Thrombotic Thrombocytopenic Purpura,2.0
Carpal Tunnel Syndrome,Gonorrhea,31.0
Carpal Tunnel Syndrome,Geroderma osteodysplastica,31.0
Carpal Tunnel Syndrome,Sexually Transmitted Diseases,7.0
Carpal Tunnel Syndrome,Osteoporosis with pseudoglioma,2.0
Carpal Tunnel Syndrome,"Lung Diseases, Obstructive",21.0
Carpal Tunnel Syndrome,Gray Platelet Syndrome,22.0
Carpal Tunnel Syndrome,Disease,18.0
Carpal Tunnel Syndrome,Pain,7.0
Carpal Tunnel Syndrome,rundown,1.0
Carpal Tunnel Syndrome,Little's Disease,21.0
Carpal Tunnel Syndrome,Testicular regression syndrome,5.0
Carpal Tunnel Syndrome,PROGRESSIVE ENCEPHALOMYELITIS WITH RIGIDITY,2.0
Carpal Tunnel Syndrome,Communicable Diseases,13.0
Carpal Tunnel Syndrome,Chronic otitis media,8.0
Carpal Tunnel Syndrome,"SHORT STATURE, IDIOPATHIC, X-LINKED",5.0
Carpal Tunnel Syndrome,organic disorders,2.0
Carpal Tunnel Syndrome,AICARDI-GOUTIERES SYNDROME 1,1.0
Carpal Tunnel Syndrome,Sore to touch,1.0
Carpal Tunnel Syndrome,Allergic disposition,4.0
Carpal Tunnel Syndrome,Common Cold,10.0
